lon,lat,BCR,green_frac,water_frac,SVF
72.61831604866013,22.92062012311751,0.0,0.0,0.0,1.0
72.61632610250479,22.92074565618016,0.0,0.0,0.0,1.0
72.6210627080769,22.920825944270742,0.0,0.0,0.0,1.0
72.62023530644757,22.920632634091806,0.0,0.0,0.0,1.0
72.61533800763918,22.920807988808768,0.0,0.0,0.0,1.0
72.61473011063141,22.9208655349926,0.0,0.0,0.0,1.0
72.617319876567,22.9206829652871,0.0,0.0,0.0,1.0
72.61830000000079,22.9214487,0.0,0.0,0.0,1.0
72.61630000000079,22.9214487,0.0,0.0,0.0,1.0
72.61730000000081,22.9214487,0.0,0.0,0.0,1.0
72.6163000000008,22.922448700000004,0.0,0.0,0.0,1.0
72.61730000000081,22.922448700000004,0.0,0.0,0.0,1.0
72.61830000000079,22.9224487,0.0,0.0,0.0,1.0
72.61830000000079,22.923448700000005,0.0,0.0,0.0,1.0
72.6173000000008,22.92344870000001,0.0,0.0,0.0,1.0
72.6163000000008,22.9234487,0.0,0.0,0.0,1.0
72.61931341644186,22.92055724084428,0.0,0.0,0.0,1.0
72.62030000000081,22.921448700000003,0.0,0.0,0.0,1.0
72.62129544889994,22.921453649893188,0.0,0.0,0.0,1.0
72.6193000000008,22.921448700000006,0.0,0.0,0.0,1.0
72.6203000000008,22.9224487,0.0,0.0,0.0,1.0
72.6213000000008,22.922448700000004,0.0,0.0,0.0,1.0
72.6193000000008,22.922448700000007,0.0,0.0,0.0,1.0
72.62030000000082,22.92344870000001,0.0,0.0,0.0,1.0
72.62130000000082,22.92344870000001,0.0,0.0,0.0,1.0
72.6193000000008,22.923448700000005,0.0,0.0,0.0,1.0
72.61447450841516,22.92155660784095,0.0,0.0,0.0,1.0
72.6153000000008,22.921448700000003,0.0,0.0,0.0,1.0
72.61530000000077,22.922448700000004,0.0,0.0,0.0,1.0
72.61430113384498,22.92244981749366,0.0,0.0,0.0,1.0
72.61357313753751,22.922641967130616,0.0,0.0,0.0,1.0
72.6143000000008,22.923448700000012,0.0,0.0,0.0,1.0
72.61332915317588,22.923475076257287,0.0,0.0,0.0,1.0
72.61530000000079,22.923448699999998,0.0,0.0,0.0,1.0
72.61231175941089,22.923744279649977,0.0,0.0,0.0,1.0
72.61029887356327,22.923745951510984,0.0,0.0,0.0,1.0
72.61129885812828,22.923748692028976,0.0,0.0,0.0,1.0
72.60953849005391,22.923757447056996,0.0,0.0,0.0,1.0
72.62310940411217,22.921804124591866,0.0,0.0,0.0,1.0
72.62582276681407,22.922938061740215,0.0,0.0,0.0,1.0
72.62625180686095,22.923538984201766,0.0,0.0,0.0,1.0
72.62690257090377,22.923665800304395,0.0,0.0,0.0,1.0
72.62224165200077,22.921601387118333,0.0,0.0,0.0,1.0
72.62515336394796,22.922781665640365,0.0,0.0,0.0,1.0
72.62329942610539,22.922449289262694,0.0,0.0,0.0,1.0
72.62230000000082,22.9224487,0.0,0.0,0.0,1.0
72.62424686392357,22.922569875288858,0.0,0.0,0.0,1.0
72.6223000000008,22.92344870000001,0.0,0.0,0.0,1.0
72.62530000000082,22.9234487,0.0,0.0,0.0,1.0
72.62330000000082,22.923448700000012,0.0,0.0,0.0,1.0
72.62430000000083,22.92344870000001,0.0,0.0,0.0,1.0
72.63751799536828,22.92989689181784,0.0,0.0,0.0,1.0
72.6383619111992,22.929819372266657,0.0,0.0,0.0,1.0
72.63730097937906,22.930449770836837,0.0,0.0,0.0,1.0
72.6383000000009,22.930448700000017,0.0,0.0,0.0,1.0
72.63933552124543,22.929729939397816,0.0,0.0,0.0,1.0
72.64032490525709,22.929639057580314,0.0,0.0,0.0,1.0
72.64131917465964,22.929547727005595,0.0,0.0,0.0,1.0
72.6393000000009,22.93044870000001,0.0,0.0,0.0,1.0
72.64130000000091,22.93044870000001,0.0,0.0,0.0,1.0
72.63544191873052,22.93076088567905,0.0,0.0,0.0,1.0
72.63477093649264,22.930933726817226,0.0,0.0,0.0,1.0
72.63345776017296,22.931771993431294,0.0,0.0,0.0,1.0
72.63435349109419,22.931542505062858,0.0,0.0,0.0,1.0
72.63279059068202,22.931943852427942,0.0,0.0,0.0,1.0
72.64030000000092,22.930448700000017,0.0,0.0,0.0,1.0
72.6393000000009,22.931448700000015,0.0,0.0,0.0,1.0
72.64130000000091,22.93144870000002,0.0,0.0,0.0,1.0
72.6403000000009,22.931448700000008,0.0,0.0,0.0,1.0
72.63930000000089,22.932448700000016,0.0,0.0,0.0,1.0
72.6403000000009,22.932448700000016,0.0,0.0,0.0,1.0
72.6413000000009,22.932448700000013,0.0,0.0,0.0,1.0
72.6393000000009,22.93344870000001,0.0,0.0,0.0,1.0
72.6403000000009,22.933448700000014,0.0,0.0,0.0,1.0
72.64130000000091,22.933448700000017,0.0,0.0,0.0,1.0
72.6363455707131,22.93053772796953,0.0,0.0,0.0,1.0
72.63730000000089,22.93144870000001,0.0,0.0,0.0,1.0
72.63630000000089,22.93144870000001,0.0,0.0,0.0,1.0
72.63830000000088,22.931448700000008,0.0,0.0,0.0,1.0
72.63730000000089,22.932448700000016,0.0,0.0,0.0,1.0
72.63830000000091,22.932448700000016,0.0,0.0,0.0,1.0
72.63630000000087,22.932448700000016,0.0,0.0,0.0,1.0
72.6383000000009,22.933448700000014,0.0,0.0,0.0,1.0
72.63630000000089,22.933448700000014,0.0,0.0,0.0,1.0
72.6373000000009,22.933448700000017,0.0,0.0,0.0,1.0
72.61330000000078,22.92444870000001,0.0,0.0,0.0,1.0
72.61230000000077,22.924448700000006,0.0,0.0,0.0,1.0
72.61530000000079,22.9244487,0.0,0.0,0.0,1.0
72.61430000000078,22.924448700000006,0.0,0.0,0.0,1.0
72.61230000000079,22.925448700000015,0.0,0.0,0.0,1.0
72.61430000000078,22.925448700000008,0.0,0.0,0.0,1.0
72.61330000000078,22.92544870000001,0.0,0.0,0.0,1.0
72.6153000000008,22.92544870000001,0.0,0.0,0.0,1.0
72.61430000000078,22.92644870000001,0.0,0.0,0.0,1.0
72.61330000000079,22.926448700000012,0.0,0.0,0.0,1.0
72.6213000000008,22.924448700000003,0.0,0.0,0.0,1.0
72.6203000000008,22.9244487,0.0,0.0,0.0,1.0
72.61930000000079,22.924448700000006,0.0,0.0,0.0,1.0
72.6193000000008,22.925448700000015,0.0,0.0,0.0,1.0
72.62130000000082,22.925448700000008,0.0,0.0,0.0,1.0
72.62030000000081,22.925448700000008,0.0,0.0,0.0,1.0
72.62130000000082,22.92644870000001,0.0,0.0,0.0,1.0
72.6193000000008,22.92644870000001,0.0,0.0,0.0,1.0
72.62030000000081,22.92644870000001,0.0,0.0,0.0,1.0
72.6193000000008,22.92744870000001,0.0,0.0,0.0,1.0
72.61730000000078,22.924448700000006,0.0,0.0,0.0,1.0
72.6183000000008,22.9244487,0.0,0.0,0.0,1.0
72.6163000000008,22.924448700000006,0.0,0.0,0.0,1.0
72.61730000000078,22.925448700000004,0.0,0.0,0.0,1.0
72.6163000000008,22.925448700000008,0.0,0.0,0.0,1.0
72.61830000000079,22.92544870000001,0.0,0.0,0.0,1.0
72.61630000000079,22.926448700000012,0.0,0.0,0.0,1.0
72.61830000000081,22.926448700000012,0.0,0.0,0.0,1.0
72.61730000000078,22.926448700000005,0.0,0.0,0.0,1.0
72.6163000000008,22.927448700000006,0.0,0.0,0.0,1.0
72.61230000000077,22.926448700000012,0.0,0.0,0.0,1.0
72.61530000000077,22.926448700000005,0.0,0.0,0.0,1.0
72.61330000000078,22.92744870000001,0.0,0.0,0.0,1.0
72.61530000000079,22.927448700000003,0.0,0.0,0.0,1.0
72.61230000000076,22.927448700000003,0.0,0.0,0.0,1.0
72.6143000000008,22.92744870000001,0.0,0.0,0.0,1.0
72.61330000000078,22.928448700000015,0.0,0.0,0.0,1.0
72.61530000000079,22.928448700000015,0.0,0.0,0.0,1.0
72.61230000000077,22.928448700000015,0.0,0.0,0.0,1.0
72.61430000000078,22.928448700000015,0.0,0.0,0.0,1.0
72.62130000000082,22.92744870000001,0.0,0.0,0.0,1.0
72.62030000000081,22.927448700000014,0.0,0.0,0.0,1.0
72.6193000000008,22.928448700000015,0.0,0.0,0.0,1.0
72.62130000000082,22.92844870000001,0.0,0.0,0.0,1.0
72.62030000000081,22.92844870000001,0.0,0.0,0.0,1.0
72.6213000000008,22.92944870000001,0.0,0.0,0.0,1.0
72.62030000000082,22.92944870000002,0.0,0.0,0.0,1.0
72.6193000000008,22.92944870000002,0.0,0.0,0.0,1.0
72.62130000000082,22.93044870000001,0.0,0.0,0.0,1.0
72.62030000000081,22.93044870000001,0.0,0.0,0.0,1.0
72.61730000000081,22.92744870000001,0.0,0.0,0.0,1.0
72.6183000000008,22.927448700000003,0.0,0.0,0.0,1.0
72.6183000000008,22.92844870000001,0.0,0.0,0.0,1.0
