lon,lat,LST,HSI,hotspot,NDVI,NDBI,NDWI,MNDWI,NDMI,Rn,G,H,LE,bowen_ratio,albedo,emissivity,BCR,green_frac,water_frac,SVF,T2m_C,RH_pct,wind_speed,LULC,delta_greening,delta_coolroof,delta_water,delta_combined
72.44957682188148,23.140152561276814,42.08996,24.77965,0,0.26618704,0.096171804,-0.36466166,-0.44521955,-0.096171804,504.98962,50.498962,320.06897,134.42169,2.3634984,0.066384874,0.98543805,0.0,0.0,0.0,1.0,33.349613,32.276894,1.8893793,40.0,0.0,0.0,0.0,0.0
72.4504751371656,23.140152561276814,43.477676,29.616488,0,0.2306046,0.10517443,-0.31503716,-0.40673488,-0.10517443,488.2764,48.82764,326.84998,112.598785,2.8772314,0.09264284,0.98509365,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.45137345244972,23.140152561276814,44.26268,27.355242,0,0.30175707,0.007860262,-0.35273883,-0.35960203,-0.007860262,447.73923,44.773922,267.8568,135.10847,1.9679658,0.15918316,0.98603547,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,10.0,0.0,0.0,0.0,0.0
72.45227176773383,23.140152561276814,48.1296,56.574936,1,0.10789881,0.063359275,-0.14453334,-0.20600611,-0.063359275,410.64868,41.06487,325.2753,44.308506,7.1791224,0.21632549,0.98584825,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,50.0,1.4084511,0.94293976,0.72273254,3.2702827
72.45406839830207,23.140152561276814,48.72092,34.73514,0,0.3370021,0.04822311,-0.36782843,-0.4088003,-0.04822311,438.79495,43.879494,247.04063,147.87482,1.659385,0.16857792,0.98687696,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,50.0,0.0,0.0,0.0,0.0
72.45496671358619,23.140152561276814,50.229404,56.303383,1,0.124052554,0.26668864,-0.118120134,-0.373057,-0.26668864,408.7319,40.87319,317.15448,50.704235,6.1340137,0.21692766,0.9855768,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,50.0,0.039409637,0.42332077,0.6164093,2.6098595
72.45676334415442,23.140152561276814,48.905037,47.098194,0,0.16047198,0.11945087,-0.19019766,-0.3027698,-0.11945087,425.034,42.5034,314.32455,68.20605,4.5418653,0.19145857,0.98515624,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,50.0,0.0,0.0,0.0,0.0
72.45766165943854,23.140152561276814,48.641167,42.92728,0,0.19113229,0.12462886,-0.29657194,-0.40618753,-0.12462886,423.8358,42.38358,300.4435,81.008705,3.6635563,0.19379842,0.9850079,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.45855997472266,23.140152561276814,49.31383,41.543846,0,0.2222344,0.12749472,-0.34800485,-0.4552985,-0.12749472,420.42334,42.042336,284.9485,93.43253,3.017482,0.1986444,0.9850494,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.4594582900068,23.140152561276814,49.870968,41.348022,0,0.24077329,0.13863046,-0.35752913,-0.47272906,-0.13863046,409.50262,40.95026,269.95505,98.59729,2.710466,0.21613622,0.98516625,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.46035660529091,23.140152561276814,49.78962,42.22896,0,0.22549582,0.12276383,-0.32416698,-0.42982548,-0.12276383,419.88416,41.988415,283.21362,94.68212,2.959943,0.1989461,0.985065,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.46125492057503,23.140152561276814,50.17996,43.819218,0,0.21455577,0.14218959,-0.33958822,-0.45958626,-0.14218959,419.53607,41.95361,287.56857,90.013885,3.1596122,0.19904037,0.9850212,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.46215323585915,23.140152561276814,50.381622,44.22563,0,0.21436065,0.13212262,-0.3330774,-0.44559088,-0.13212262,416.21844,41.621845,285.37576,89.220856,3.1630795,0.20431575,0.98502064,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.46305155114327,23.140152561276814,50.1198,42.17985,0,0.23544018,0.14182673,-0.3528612,-0.47111112,-0.14182673,415.5721,41.55721,276.17252,97.84237,2.7940702,0.2057119,0.9851256,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.46394986642738,23.140152561276814,49.37809,41.229477,0,0.22830269,0.11066398,-0.3478771,-0.44154277,-0.11066398,423.4421,42.34421,284.42493,96.67297,2.9120126,0.19352973,0.9850801,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.4648481817115,23.140152561276814,47.84887,30.98613,0,0.41417652,-0.013278008,-0.43833196,-0.42754233,0.013278008,414.7171,41.47171,201.47931,171.76608,1.1661972,0.20951614,0.9895871,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,10.0,0.0,0.0,0.0,0.0
72.46574649699562,23.140152561276814,47.31429,29.301992,0,0.44628882,-0.007349905,-0.43522766,-0.4292509,0.007349905,425.2201,42.52201,192.92711,189.77098,1.0113022,0.1925235,0.9910658,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,10.0,0.0,0.0,0.0,0.0
72.46664481227974,23.140152561276814,48.79566,35.095806,0,0.3304682,0.07062727,-0.38955823,-0.44786325,-0.07062727,420.86493,42.086494,239.69595,139.08249,1.7111058,0.198386,0.9867022,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.46754312756386,23.140152561276814,49.20514,36.823654,0,0.3050794,0.08250776,-0.38411778,-0.45229122,-0.08250776,417.88577,41.788578,248.60886,127.48834,1.9348748,0.20290169,0.9861042,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.46844144284798,23.140152561276814,49.187366,35.771797,0,0.3330238,0.069518715,-0.422872,-0.47832903,-0.069518715,426.83316,42.68332,242.00426,142.1456,1.690616,0.18794368,0.98676956,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,10.0,0.0,0.0,0.0,0.0
72.46933975813211,23.140152561276814,49.724678,39.42,0,0.26978207,0.12685311,-0.3910379,-0.49341547,-0.12685311,424.6165,42.46165,267.60092,114.55392,2.31581,0.19109696,0.9854869,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,20.0,0.0,0.0,0.0,0.0
72.47023807341623,23.140152561276814,49.149765,37.77706,0,0.28055036,0.11925575,-0.3927711,-0.48911652,-0.11925575,425.35318,42.535316,263.48486,119.33299,2.1896312,0.19057158,0.9856488,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,10.0,0.0,0.0,0.0,0.0
72.47113638870034,23.140152561276814,48.65347,37.27955,0,0.27090228,0.13466015,-0.38054156,-0.49008778,-0.13466015,415.5212,41.552124,261.40344,112.56564,2.3017828,0.20759061,0.9855027,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,20.0,0.0,0.0,0.0,0.0
72.47203470398446,23.140152561276814,47.833145,33.192043,0,0.3314817,0.082924396,-0.41904762,-0.48511463,-0.082924396,431.7257,43.17257,245.44397,143.10918,1.7031807,0.18147463,0.9867287,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,20.0,0.0,0.0,0.0,0.0
72.47293301926858,23.140152561276814,47.873478,36.25893,0,0.261418,0.11934406,-0.39473367,-0.49094954,-0.11934406,420.21902,42.021904,268.3443,109.85282,2.420726,0.20073833,0.9853772,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.4738313345527,23.140152561276814,49.236584,38.921036,0,0.26122755,0.14249364,-0.39834026,-0.5117845,-0.14249364,431.84244,43.184242,275.84906,112.809135,2.4237864,0.17967577,0.98537487,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,20.0,0.0,0.0,0.0,0.0
72.47472964983682,23.140152561276814,50.15808,41.89272,0,0.2410072,0.14018692,-0.3765586,-0.49083504,-0.14018692,415.04407,41.504406,273.51105,100.02861,2.7072635,0.20653939,0.98516816,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,20.0,0.0,0.0,0.0,0.0
72.47562796512094,23.140152561276814,51.152725,43.69503,0,0.24304268,0.12519948,-0.3879618,-0.4893903,-0.12519948,404.48538,40.448536,265.72964,98.307205,2.6758344,0.22287789,0.98518527,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,20.0,0.0,0.0,0.0,0.0
72.47652628040505,23.140152561276814,49.90173,35.207485,0,0.4037267,-0.018519823,-0.49653387,-0.48245054,0.018519823,404.70944,40.470943,200.84648,163.392,1.2217534,0.22367616,0.98915046,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,40.0,0.0,0.0,0.0,0.0
72.47742459568917,23.140152561276814,45.569733,26.828075,0,0.4019863,-0.012534819,-0.4744955,-0.46472472,0.012534819,411.30475,41.130478,204.8354,165.33888,1.2314342,0.21804279,0.98907983,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,10.0,0.0,0.0,0.0,0.0
72.47832291097329,23.140152561276814,45.714657,26.393562,0,0.43575075,-0.03360541,-0.5055698,-0.48012164,0.03360541,410.3008,41.030083,190.48184,178.7889,1.059475,0.21939608,0.99055785,0.0,0.0,0.0,1.0,33.330833,32.076168,1.8561015,10.0,0.0,0.0,0.0,0.0
